NGram	PC1	PC2	PC3	PC4
一个老	-0.0193802133101	0.00499362575352	0.00775684869338	-0.00813655801746
一个说	-0.00570074410012	0.0014673042757	0.00262041853978	-0.00258202114108
一个道	-0.0145422047459	0.00360942955669	0.0047461034221	-0.00580372193273
一个金	-0.00346852177074	0.000709103829416	0.00108450848746	-0.00106787607489
一个钱	-0.00321985543373	0.000918773183468	0.00236603474725	-0.0025878582045
一个长	-0.00283974818415	0.000765293987681	0.000790766566154	-0.000806983018739
一个黑	-0.00270939024059	0.000528042703822	0.000819914880081	-0.000800722163514
一举两	-0.000713426542237	-0.00221057371135	-0.00166259175322	-0.00195289062459
一举而	0.00416933153829	-0.00618287861922	-0.00940415649426	-0.00286294449325
一事不	0.000426716997688	-0.00160860126063	-0.0025245897144	-0.00199917305636
一二三	0.00206937191745	-0.00361256400993	-0.000125992518918	-0.00247319907534
一二人	0.00691798527595	-0.00601790514556	-0.0114898740871	-0.00634170175383
一二十	0.0007850278025	-0.0049929743686	-0.00193426578177	-0.00665045474274
一二千	0.000985790353596	-0.00287247514991	-0.00205443983494	-0.00295467736134
一二年	0.00423669501402	-0.00760112078223	-0.00663815430476	-0.00682248470601
一二日	0.00103324156171	-0.00186990379837	-0.00121112660058	-0.00229977375139
一二百	0.00101814138963	-0.0045729621112	-0.00347925422989	-0.00597488500471
一五一	-0.00407470897618	0.00018279167214	0.00271909719822	-0.00285786586043
一些不	-0.00498208153651	0.000990033293393	0.00199749502286	-0.00259238109929
一些也	-0.00274729645978	0.000662238975758	0.00113006400605	-0.00139324827966
一些儿	-0.00336179674327	0.000960465325147	0.00207927769401	-0.00247049098196
一人一	-0.000105569857573	-0.00236477536089	-0.00455934766558	-0.00137799849507
一人不	0.000386908046802	-0.00184198105356	-0.00370163626584	-0.00202383851308
一人中	0.000412804080574	2.93467546562e-06	-8.88913280536e-05	0.000183382632283
一人为	0.00439664620366	-0.00165790232896	-0.00345617721307	-0.00110798783727
一人主	0.000980199521724	0.000641973340748	-0.000288977120696	-0.0003787580772
一人之	0.00751027959255	-0.00917246633557	-0.0188804153986	-0.00736117735477
一人也	0.000944180327688	0.000140072422317	-0.0018168060797	-0.00159975417236
一人以	0.00433506589281	-0.00151817852066	-0.00252299477169	-0.000784349264444
一人兵	0.000171967452678	-0.00010525316535	1.12978868787e-05	-5.0287316998e-05
一人副	0.000967551866803	-3.30059330976e-05	-0.000178060237063	0.000837181863027
一人千	0.000107104482705	-0.000208724690378	-0.000219961972892	0.000119080405948
一人员	0.00048459349848	0.000798501573451	-0.00011558840958	0.000385914384677
一人在	-0.00287987295124	0.00044699372011	-0.000413791291086	-0.00142828438293
一人姓	-0.0023912258464	-0.00149591693509	-0.00544697669161	0.00534232698276
一人所	0.00116568656653	-0.00118134060075	-0.00134426122394	-0.00125110291974
一人把	-0.000387012088567	1.44483791169e-05	2.36725937552e-05	-0.000111490074773
一人掌	0.00172668011015	0.00024555453124	-0.000132316227373	0.00139716236243
一人正	0.000241860980163	0.000991566062061	-0.000171238598441	-0.000732696313252
一人知	-0.00024466982328	6.97196485235e-05	-0.00109970938488	-0.000124898486081
一人而	0.00697687075239	-0.000999328444762	-0.0108882278984	-0.00392269967626
一人说	-0.00272223814808	0.00037777358107	0.000276188167569	7.41814463062e-05
一人道	-0.00324309376099	0.000451486307541	0.000856460115669	-0.000984027751544
一人驻	0.00040117713528	-0.000459231768494	-0.000331061753012	-0.000262098943194
一代之	0.00446847019378	-0.00231863624582	-0.00508811818734	-0.00149136778976
一件不	-0.00330883704187	0.000761851943901	0.00146976628835	-0.00224592202756
一件东	-0.00333705366194	0.000940687444929	0.00177917732264	-0.00186343337505
一件事	-0.012095009681	0.00328103804432	0.00715510939037	-0.00741058609835
一件大	-0.00289105861571	0.00041313124152	0.00132319364905	-0.00108352245948
一会儿	-0.0168906603222	0.00614018265912	0.0133247510123	-0.0141700093356
一会又	-0.00447622991953	0.00119725346422	0.0025508328472	-0.00312292149136
一会只	-0.00299357619757	0.000909059350041	0.00130422496896	-0.00162439033878
