NGram	PC1	PC2	PC3	PC4
似	0.0035407401782	-0.0079803640293	0.000354582235617	-0.00822271622584
但	0.00384292596667	-0.0181832482756	0.00563877317223	-0.0170920426709
位	0.00982552701725	0.00708171020581	0.0150112749306	0.0284430131181
住	0.0244672034087	-0.00229264449585	0.0254213937646	-0.0145901481523
体	-0.00330785882927	-0.00636941074125	-0.00700199314095	-0.00190670488972
何	0.0104835175908	-0.0845330459969	0.0779537222159	-0.0718904809585
余	-0.0262404353308	-0.00714758195024	0.000694882084349	-0.0209601635072
佛	0.00316326648705	-0.00427521155991	-0.00399284515524	-0.000736296847955
作	-0.00403188143987	-0.00928705160075	-0.00740718429043	-0.0133330915197
你	0.140007377012	-0.0250097107872	-0.0141061616279	0.0445695884957
使	-0.0473050777976	0.0192981670057	0.0560226534017	0.125783860937
例	-0.0118762248289	0.0186526267657	-0.0320339110547	-0.0357451716598
侍	-0.0130010984002	0.00839913995908	0.0115850395666	0.0412147575212
供	-0.00218895098641	0.00166138470561	-0.00573990587287	-0.00757429634783
依	-0.00232558107402	0.0114664246693	-0.00547335344732	-0.0167444064991
侯	-0.00563685509718	-0.00117772764617	0.0318170128212	0.0121105108009
便	0.0464966093113	-0.0299460825593	0.00506534661817	0.000556759111879
保	-0.00668098218428	0.00743634668009	0.0159144800061	0.00534540966936
信	0.00170570690844	-0.00877505388095	0.0145753883772	0.00475995893605
修	-0.00990591327295	-0.00204118508872	-0.0105756562404	0.00737094604168
俱	-0.00616939383131	0.00636244561024	0.0148695207696	-0.0197153831986
倒	0.0169342557684	-0.00539907600167	-0.00210248569036	0.00529617774232
候	0.00592266786152	0.00324404923741	4.62219035068e-05	-0.00780969055816
借	0.000494554443865	-0.00292813106183	-0.00515041699542	-0.00868541078975
假	0.00119743703453	-0.00760916123916	-0.0018828967144	-0.00781778021812
做	0.0288778595181	-0.0140414671981	-0.0134452203942	0.0157921929143
停	0.000634295033153	-5.45238235161e-05	-0.00125844550204	-0.00431184914385
僧	0.00678390764934	-0.00587898191482	-0.00260137360197	-0.0108597872201
儿	0.0554726343168	-0.0137943785281	-0.020231336144	0.0871036854712
允	-0.00287891557723	-0.000780076193134	0.00500039456581	-0.000853808089067
元	-0.0236679425023	0.0425189008479	0.0441088796012	0.0610584861592
兄	0.0137352461587	-0.00997154883562	0.0219091223823	-0.03324525462
充	-0.00593971738329	0.00659024061069	-0.00344162096742	-0.00444877037383
先	-0.00956336768838	-0.0253689132563	0.0312105136269	0.0197871015281
光	-0.00221691259573	0.00284195618049	0.011787554055	0.00283186760791
克	-0.00937297412394	0.00796638574956	0.0123274051931	0.0221883298638
免	-0.00621635037214	0.0026103295559	-0.00464096567302	-0.0109149680833
党	-0.00425964272855	-0.00316206488821	0.00751339182528	0.00883374787573
入	-0.0311067584057	-0.00967066892867	0.0627937437002	-0.000109157198012
全	-0.000680593607288	-0.00170646278703	0.00939335562927	-0.00815294147218
八	-0.0170929445819	0.0626090367004	-0.0347910311552	-0.017034557362
公	-0.0150403859998	-0.054514399014	0.06177908725	-0.032983353891
六	-0.0268920231924	0.0703150811907	-0.0443707431275	-0.0163367831115
兰	0.00222976431369	-0.00049909364515	-0.00321359998146	0.0052364364463
共	-0.00507002830039	0.00248512129873	0.00326405509764	-0.0131647626514
关	-0.00481711900665	0.00290774847282	0.0351573999615	-0.0145171994111
兴	-0.0111115813596	0.00791769183864	0.0101333331483	0.0222581620734
兵	-0.0664782820954	0.030976563158	0.333786037745	0.0475580101092
其	-0.150369974897	-0.12530818101	-0.0498935581	0.0341727549565
具	-0.00883840021229	0.00365888731775	-0.00789288445066	-0.00922719051865
典	-0.00758639714089	0.00792932064474	-0.0097671291574	0.00681592360681
养	-0.00369724276509	-0.00264078219361	-0.00676559361669	-0.00525129520862
兼	-0.0100909382794	0.00856512602651	9.89856442079e-05	0.0199294029714
内	-0.0077159510164	0.0152246326124	0.00454198729611	-0.0370077206779
册	-0.00479339937048	0.00712350090133	-0.00726456357183	0.00212662285909
再	0.0124317051658	-0.0116217359659	0.0133507825046	-0.00703773458569
写	0.00736628384255	-0.00226624526257	-0.00463086660968	-0.00385751403774
军	-0.0548671391468	0.0758504905151	0.232094796067	0.0341980856634
冲	-0.000191493024949	0.000895612391934	0.0170755491339	-0.0056840534242
决	-0.00461739342636	-0.00188484222916	0.00333511354868	-0.00588483999451
况	5.83489910962e-05	-0.008925412931	0.000391213028942	-0.00263547173005
准	-0.0048050939176	0.0177909508254	-0.013610510287	-0.0293001749681
减	-0.00666995136594	0.011248988981	-0.0188894029259	-0.0215906234303
几	0.0198252295947	-0.0164318303421	-0.0146493033689	0.0203671828009
凡	-0.0116753332229	0.00707401435785	-0.0231178033957	-0.0120182497722
凤	0.00210661956131	0.00330718070222	0.00435997016077	0.00587004835375
出	0.0258471588412	-0.0378183925297	0.079105624373	-0.0168038979895
击	-0.0083226578005	0.00254923659116	0.0207552344419	0.0104015079043
刀	0.00774612734329	0.00412613628131	0.0345016323565	-0.0243276780377
分	-0.00384524955826	0.0210507456047	-0.011241513401	-0.0521458121556
切	-0.00281682697197	-0.00623029013257	-0.00690536824219	-0.00646138186779
刑	-0.00665971573159	0.00436958274722	-0.00545790198635	-0.00608919579422
列	-0.00569927898649	1.72820077213e-06	0.00292461983151	0.00663828012975
刘	-0.00795310155661	0.00506563995284	0.0604544915086	-0.000455987024886
则	-0.0533281043546	-0.0741631721369	-0.0759729611755	-0.0105530538229
初	-0.0169680836126	0.00694543928368	-0.00099059439874	0.0163780349175
利	-0.0118890716266	-0.0135604630679	-0.0166266240376	-0.00493638546097
别	0.00502477523546	-0.00364061760042	-0.00542410921642	-0.0109418940495
到	0.0888754596716	-0.0190498405938	0.0320097439535	-0.0160512751084
制	-0.0217965190883	0.00972422619781	-0.018688086293	0.0248731736554
刺	-0.00267846037483	0.00331403637876	0.015010887339	0.0069932996695
刻	0.00297208787586	-0.00173645519344	-0.00294964434856	-0.00622994943571
前	0.0145176644988	-0.0032107560051	0.0653656496808	-0.0595992725951
副	-0.00940578207285	0.0186147112995	0.0114919283324	0.0190053819903
力	-0.0107336661461	-0.0150195191253	0.0138876398232	-0.00200669335148
劝	-0.000326605765421	-0.00596178634625	0.00167594991363	-0.000994112966618
办	-0.00124508446317	0.00730358075495	-0.0241078669346	-0.0168295347513
功	-0.0139728829955	-0.00145158503754	0.0346209612792	0.0129539799145
加	-0.0131086481073	0.00736464703573	-0.00781877323735	-0.000362310186658
务	-0.00913698438968	0.00445410244931	-0.0121039001977	-0.00636146126752
动	0.00710849881887	-0.0115510157597	0.0096912559239	-0.00630163093318
助	-0.00175052972053	-0.00249037106154	0.0108128580379	-0.00401396337694
劳	-0.00296270352802	-0.00443230160036	0.0071990266202	0.00147530153671
势	-0.00754132139226	-0.0095906794974	0.0140849061473	-0.00425663675019
勇	-0.00273952169812	0.00173061253641	0.0263781005311	-0.00912757480651
勒	-0.00575311302683	0.00698230743974	0.0118360024462	0.00441561776539
勿	-0.00336469864569	-0.00537686769301	0.00421269340897	-0.00149200633817
包	0.00571615513756	-0.00201222181761	0.00447133052661	-0.0365203346634
化	-0.00198701220202	-0.00130873819896	-0.00173826355814	-0.00229440008274
北	-0.0204889424036	0.0185764574461	0.0112430977235	0.0306738785439
十	-0.0900501720245	0.234787369116	-0.118128448752	-0.0613101246547
千	-0.0176236910093	0.0315179774716	0.00157722228146	-0.0244586926931
升	-0.00659534708139	0.00819722404293	0.00207071047176	0.00579709749886
午	-0.00365860436019	0.00465717005787	0.00429920277988	0.0101783728259
半	0.00723426571566	-0.00598378273061	-0.00223814255317	-0.0131246553705
华	-0.00214865726248	-0.00265334616613	0.00330447226233	-7.64784471547e-05
卒	-0.0149862310814	-0.00102135635365	0.0203997714931	0.0357642900839
单	0.0021278331928	0.00117916196605	0.00276263077952	-0.00350239020537
卖	0.00279749232644	0.0038657917838	-0.00871437166625	-0.0169104164029
南	-0.0405525910627	0.0398537826331	0.0277184979671	0.0647921723346
卫	-0.0141829473178	0.0295632424246	0.0039370816121	0.0123649976159
印	-0.00418935593458	0.00578785189582	-0.000476992544815	-0.00358450526416
即	-0.0242047962503	-0.0318737503194	0.0281090877859	-0.0522776526688
却	0.0221189304412	-0.0201266470886	0.0202757510796	-0.00631012796185
卷	-0.010289005407	0.0360759675238	-0.0326768642265	-0.00968469359022
卿	-0.00621270750056	-0.00592810593777	0.0154084748852	0.0174308425762
历	-0.00798988612827	0.00433926505743	-0.00957093308268	0.00434815907451
厚	-0.00403765859828	-0.00545137083325	0.00158493634894	0.00486507763021
原	-1.77315939342e-05	0.00608399942184	-0.00358856501682	-0.00690207830216
去	0.102211543861	-0.044064342285	0.0533086895843	-0.000956804517618
